ID;Country;Latitude;Longitude;Page;Battle;Year;Participants;War;Winner;Loser;Participant 1;Participant 2;Lehmann Zhukov Scale;Theatre;Polygon;Massacre;Alternative Sources Consulted;Infered Scale;Minor
1stDragasani1821;Greece;44.6631799;24.2608711;Clodfelter, p191;Dragasani;1821;;Greek War of Independence;Greek Rebels;Ottoman Empire;;;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p191;;
1stGiurgevo1811;Romania;43.8977007;25.9274978;Clodfelter, p190;Giurgevo;1811;;Russo-Turkish Wars;Ottoman Empire;Russia;;;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p190;;
2ndBreslau1757;Poland;51.1078852;17.0385376;Clodfelter, p80;Breslau;1757;;Seven Years War;Prussia;Habsburg Empire;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p80;;
2ndGiurgevo1811;Romania;43.8977007;25.9274978;;Giurgevo;1811;;Russo-Turkish Wars;Russia;Ottoman Empire;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p190;;
2ndSchweidnitz1757;Poland;50.8498434;16.475679;Clodfelter, p80;Schweidnitz;1757;;Seven Years' War;Prussia;Habsburg Empire;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p80;;
A Shau1966;Vietnam;16.1245222;107.3314423;75;A Shau;1966;['Vietnamese', 'Laotian', 'Hue', 'South Vietnamese', 'American', 'Communist'];['Vietnam War', 'the A Shau Valley'];South Vietnam, United States;Viet Cong;;;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p676;;
Aa River1917;Latvia;56.8206989;23.5755013;1;Aa River;1917;['German', 'Russian', 'Riga', 'Germans'];['World War I'];Germany;Russia;Germany;Russia;4;Land;;No;;1;
Aachen1944;Germany;50.7753455;6.0838868;1;Aachen;1944;['American', 'German', 'Hurtgen'];['World War II'];United States;Germany;United States;Germany;3;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p827;;
Aardenburg1672;Netherlands;51.2742727;3.4453328;1;Aardenburg;1672;['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland'];3rd Dutch War;Netherlands;France;Netherlands;France;;Land;;No;;;
Aasle1389;Sweden;58.1775353;13.6869345;1;Aasle;1389;['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden'];Wars of Scandinavian Union;Denmark;Sweden;Denmark;Sweden;;Land;;No;;;
Abadan1980;Iran;30.347296;48.2934004;1;Abadan;1980;['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran'];['Iraq-Iran War'];Draw;;Iran;Iraq;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p588;1;
Abadan1981;Iran;30.347296;48.2934004;1;Abadan;1981;['Susangerd', 'Irans', 'Iran', 'Iraqis'];['Iraq-Iran War'];Iran;Iraq;Iran;Iraq;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p588;;
Abagana1968;Nigeria;6.1864553;6.9799755;2;Abagana;1968;['Abagana'];['Biafran War'];Biafran Rebels;Nigeria;Biafran Rebels;Nigeria;1;Land;;No;;;
Abakrampa1873;Ghana;5.245212;-1.230904;2;Abakrampa;1873;['British', 'Ghana', 'Essaman'];2nd British Ashanti War;United Kingdom;Ashanti;United Kingdom;Ashanti;;Land;;No;;;
Abancay1537;Peru;-13.6391954;-72.8929;2;Abancay;1537;['Spanish', 'Peru', 'Spanish', 'Peru', 'Peru', 'Alonzo', 'Almagro', 'Pizarrist'];['Civil War'];Almagro Faction in Spanish Civil War;Pizzarists;Almagro Faction in Spanish Civil War;Pizzarists;;Land;;No;;;
Abbasabad1827;Iran;36.7240776;51.1141183;2;Abbasabad;1827;['Russo', 'Russian', 'Persian', 'Persian'];Russo-Persian Wars;Russia;Persia;Russia;Persia;3;Land;;No;;;
Abeche1983;Chad;13.8359124;20.8433709;2;Abeche;1983;['Libyan', 'Chad'];Chad Civil War;Chad;Chadian Rebels;Chad;Chadian Rebels;;Land;;No;;;
Abensberg1809;Germany;48.8177181;11.8507867;2;Abensberg;1809;['Napoleonic', 'French', 'Spain', 'Bavaria', 'Austrians'];Napoleonic Wars (5th Coalition);France;Austria;France;Habsburg Empire;3;Land;;No;"Encyclopedia of Warfare, Showalter, 2014, p522; Harbottle's Dictionary of Battles, p86";;
Aber Edw1282;United Kingdom;52.1168663;-3.3541708;3;Aber Edw;1282;['English', 'Wales', 'Radnor'];Anglo-Welsh Wars;England;Wales;England;Wales;;Land;;No;;;
Abercorn1455;United Kingdom;55.994843;-3.4746957;2;Abercorn;1455;['Douglas', 'Scotland', 'Queensferry', 'England'];Douglas Rebellion;Scotland;Earl of Douglas;Scotland;Earl of Douglas;;Land;;No;;;
Aberdare, Kenya1955;Kenya;-0.4145514;36.6661998;2;Aberdare, Kenya;1955;['Kenya', 'Kenya'];Mau Mau Rebellion;Draw;;United Kingdom;Mau Mau Rebels;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p560;1;
Aberdare, Kenya1955(2nd);Kenya;-0.4145514;36.6661998;3;Aberdare, Kenya;1955;['Kenya', 'Kenya', 'British', 'British', 'Kenya'];Mau Mau War;Mau Mau;United Kingdom;Mau Mau;United Kingdom;2;Land;;No;;;
Aberdare, Wales1093;United Kingdom;51.716154;-3.451816;3;Aberdare, Wales;1093;['Wales', 'Glamorgan'];Anglo-Welsh Wars;England;Wales;England;Wales;;Land;;No;;;
Aberdeen1644;United Kingdom;57.149717;-2.094278;3;Aberdeen;1644;['British', 'Scottish', 'Aberdeen', 'Inverlochy'];British Civil Wars;Royalists;Covenanters;Royalists;Covenanters;1;Land;;Battle followed by massacre;https://www.battlefieldstrust.com/media/669.pdf;;
Aboasa1900;Ghana;6.8076157;-1.5454459;Clodfelter, p351;Aboasa;1900;;Ashanti Rising;United Kingdom;Ashanti Rebels;;;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p351;;
Abomey1892;Benin;7.1854773;1.9979411;3;Abomey;1892;['French'];['Dahomean War'];France;Dahomey;France;Dahomey;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p208;;
Aboukir1799;Egypt;31.3114241;30.0603342;3;Aboukir;1799;['French', 'British', 'Turkish', 'Egypt', 'French', 'Turkish'];French Revolutionary Wars;France;Ottoman Empire;France;Ottoman Empire;2;Land;;No;The Field and the Forge, Landers, p390;;
Aboukir1801;Egypt;31.3114241;30.0603342;3;Aboukir;1801;['French', 'British', 'Aboukir', 'French', 'Alexandria'];French Revolutionary Wars;United Kingdom, Ottoman Empire;France;United Kingdom, Ottoman Empire;France;2;Land;;No;Encyclopedia of Warfare, Amber Books, 2014, p510;;
Abrittus251;Bulgaria;43.5237175;26.5404685;3;Abrittus;251;['Philippopolis'];['Gothic War'];Goths, Scythians;Rome;Goths, Scythians;Rome;;Land;;No;;;
Abu Ageila1956;Egypt;30.83783;34.1133;4;Abu Ageila;1956;['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels'];['Sinai War'];Israel;Egypt;Israel;Egypt;1;Land;;No;;;
Abu Ageila1967;Egypt;30.83783;34.1133;4;Abu Ageila;1967;['Arab', 'Israels', 'Egyptian', 'Egyptians'];Six Day War;Israel;Egypt;Israel;Egypt;4;Land;ABA1967;No;"https://www.armyupress.army.mil/Portals/7/combat-studies-institute/csi-books/key-to-the-sinai.pdf; Shapefile taken from Page 10";;
Abu Hamed1897;Sudan;19.5253379;33.2798188;4;Abu Hamed;1897;['British', 'British', 'Sudan', 'British', 'Sudanese'];British-Sudan Wars;United Kingdom;Sudanese Mahdists;United Kingdom;the Mahdiyya;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p203;;
Abu Klea1885;Sudan;16.9833533;33.2912452;4;Abu Klea;1885;['British', 'British'];British-Sudanese Wars;United Kingdom;Sudanese Mahdists;United Kingdom;the Mahdiyya;2;Land;;No;Encyclopedia of Warfare, Amber Books, London, 2014, p709;;
Abu Kru1885;Sudan;16.6399301;33.0806383;4;Abu Kru;1885;['British', 'Dongola', 'British', 'Mahdists', 'British', 'Cairo'];British-Sudan Wars;United Kingdom;Sudanese Mahdists;United Kingdom;the Mahdiyya;;Land;;No;For location, Spiers, the Victorian Soldier in Africa;;
Abu Tellul1918;Israel;31.9231824;35.3566345;4;Abu Tellul;1918;['Jericho', 'Turkish', 'German', 'Australian', 'Germans'];['World War'];Australia;Germany, Ottoman Empire;Australia;Germany, Ottoman Empire;;Land;;No;;;
Abydos-200;Egypt;26.1837366;31.9227288;4;Abydos;-200;['Macedon', 'Abydos', 'Asian', 'Rhodian'];['Macedonian War'];Macedonia;Abydos, Pergamum, Rhodes;Macedonia;Abydos, Pergamum, Rhodes;;Land;;No;;;
Abydos989;Egypt;26.1837366;31.9227288;4;Abydos;989;['Byzantine'];Byzantine Military Rebellions;Emperor Basil II;Bardas Phocas;Emperor Basil II;Bardas Phocas;;Land;;No;;;
Acajete1839;Mexico;19.1061301;-97.9522432;5;Acajete;1839;['Mexican', 'Mexican', 'Jalapa', 'Tampico'];Mexican Federalist Wars;Mexico;Mexican Rebels;Mexico;Mexican Rebels;1;Land;;No;;;
Acambaro1858;Mexico;20.025105;-100.718241;5;Acambaro;1858;['Mexico', 'Conservative', 'Acambaro'];['Mexican War'];Draw;;Mexican Liberals;Mexican Conservatives;1;Land;;No;;;
Acapulco1855;Mexico;16.8531086;-99.8236533;5;Acapulco;1855;['Mexican', 'Acapulco', 'Mexico', 'Santa Anna', 'Mexican'];Mexican Liberal Rebellion;Mexican Liberals;Mexican Conservatives;Mexican Liberals;Mexican Conservatives;;Land;;No;;;
Accra1824;Ghana;5.554828;-0.200086;Harbottles, p10;Accra;1824;;First British-Ashanti War;Ashanti Kingdom;United Kingdom;;;2;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p10;;
Accra1825;Ghana;5.554828;-0.200086;Harbottles, p10;Accra;1825;;First British Ashanti War;United Kingdom;Ashanti Kingdom;;;2;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p10;;
Acerrae-90;Italy;40.9441091;14.371438;5;Acerrae;-90;['Rome'];Roman Social War;Rome;Samnites;Rome;Samnites;;Land;;No;;;
Acheribe1893;Benin;9.30769;2.315834;5;Acheribe;1893;['Abomey', 'France', 'Behanzins'];3rd Franco-Dahomean War;France;Dahomey;France;Dahomey;;Land;;No;;;
Ackia1736;United States;34.2721578;-88.7379271;5;Ackia;1736;['Louisiana', 'Chickasaw', 'French', 'Mississippi', 'French', 'Indian', 'New Orleans'];Chickasaw-French War;Chickasaws;France;Chickasaws;France;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p119;;
Aclea851;United Kingdom;51.4268318;0.3545853;5;Aclea;851;['Britain', 'London', 'Thames'];Viking Raids on Britain;Wessex;Danish Vikings;Wessex;Danish Vikings;;Land;;No;;;
Acomo Pueblo1598;United States;34.8963361;-107.5910634;6;Acomo Pueblo;1598;[];Spanish Conquest of New Mexico;Spain;Pueblo Indians;Spain;Pueblo Indians;1;Land;;Battle followed by masssacre;;;
Acosta-Nu1869;Paraguay;-25.419142;-57.5445587;6;Acosta-Nu;1869;['Piribebuy', 'Brazilian'];War of the Triple              Alliance;Brazil;Paraguay;Brazil;Paraguay;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p322;;
Acqui1799;Italy;44.6763846;8.4670285;6;Acqui;1799;['French', 'French', 'Italy', 'Russian', 'French', 'Austrian', 'Russian', 'French'];French Revolutionary 2nd Coalition;Austria, Russia;France;Austria, Russia;France;3;Land;;No;Encyclopedia of Warfare, Amber Books, London 2014, p510 - assuming numbers broadly similar to Novi Ligure three days later;;
Acragas-262;Italy;37.3094075;13.5859823;6;Acragas;-262;['Rome', 'Acragas', 'Sicily', 'Carthaginian', 'Rome', 'Romans'];['Punic War'];Rome;Carthage;Rome;Carthage;3;Land;;No;A Global History of Pre Modern Warfare, Kaushik Roy, 2021, p111;;
Acragas-406;Italy;37.3094075;13.5859823;6;Acragas;-406;['Carthaginian', 'Greek', 'Acragas', 'Spartans'];Carthaginian-Syracusan Wars;Carthage;Syracuse;Carthage;Syracuse;;Land;;No;;;
Acre1104;Israel;32.933052;35.082678;6;Acre;1104;['Crusader-Muslim', 'Jerusalem', 'Genoese', 'Genoese', 'Bena Zahr'];Crusader-Muslim Wars;Genoa, Kingdom of Jerusalem;Fatimid Caliphate;Genoa, Kingdom of Jerusalem;Fatimid Caliphate;;Land;;No;;;
Acre1189-1191;Israel;32.933052;35.082678;6;Acre;1189;['Haifa', 'Kurdish-Muslim', 'England', 'Muslim'];Third Crusade;England;Ayyubid Caliphate;England;Ayyubid Caliphate;3;Land;;Battle followed by massacre;;;
Acre1291;Israel;32.933052;35.082678;6;Acre;1291;['Muslim', 'Christian'];Later Crusader-Muslim Wars;Mamlukes;Kingdom of Jerusalem, Knights Hospitallier, Knights Templar, Teutonic Knights;Mamlukes;Kingdom of Jerusalem, Knights Hospitallier, Knights Templar, Teutonic Knights;3;Land;;No;Encyclopedia of Warfare, Amber Books, London 2014, p225;;
Acre1799;Israel;32.933052;35.082678;7;Acre;1799;['French', 'Egypt', 'Egypt', 'Syria', 'Haifa', 'British', 'Egypt'];French Revolutionary Wars;Pasha of Acre, United Kingdom;France;Pasha of Acre, United Kingdom;France;2;Land;;No;Encyclopedia of Warfare, Amber Books, p508;;
Acre1831;Israel;32.933052;35.082678;7;Acre;1831;['Egyptian', 'War                                          ', 'Egyptian', 'Turkish', 'Syria', 'Gaza', 'Jaffa', 'Jerusalem', 'Anatolia', 'Turks'];1st Turko-Egyptian War;Egypt;Turkey;Egypt;Turkey;2;Land;;No;Encyclopedia of Warfare, Amber Books, London, 2014, p594. Assuming Ibrahim Pasha's force to be roughly similar in size to the force at the subsequent battle of Konya, and the attackers to outnumber the defenders;;
Acre1840;Israel;32.933052;35.082678;7;Acre;1840;['Turko', 'Egyptian', 'Turkey', 'Nezib', 'Syria', 'Turkish', 'European', 'Beirut', 'British', 'Turkish'];2nd Turko-Egyptian War;United Kingdom, Austria;Egypt;United Kingdom, Austria;Egypt;2;Land and Sea;;No;Encyclopedia of Warfare, Amber Books, London 2014, p594. Source states eight ships of the line involved. Ship of the line crew 600-800 approx. https://www.britannica.com/technology/ship-of-the-line;;
Acropolis1821;Greece;37.9715323;23.7257492;7;Acropolis;1821;[];Greek War of Independence;Greek Rebels;Greek Muslims;Greek Rebels;Greek Muslims;1;Land;;Yes;;;
Acropolis1826-1827;Greece;37.9715323;23.7257492;7;Acropolis;1826;['Athens', 'Acropolis', 'Yannis', 'British', 'Acropolis', 'Chaidari', 'Turkey', 'Greece'];['Greek War'];Ottoman Empire;Greek Rebels;Ottoman Empire;Greek Rebels;2;Land;;Battle followed by massacre;Clodfelter, Warfare and Armed Conflict, p191;;
Acs1849;Hungary;47.7112968;18.0103464;7;Acs;1849;['Hungarian', 'Austria', 'Hungary', 'Russia', 'Hungarian', 'Komarom', 'Budapest', 'Temesvar'];Hungarian Revolutionary War;Draw;;Hungarian Rebels;Russia, Austria;3;Land;;No;Encyclopedia of Warfare, Amber Books, London 2014, p650. Assuming army sizes broadly similar to those at Temesvar later in the year (same commanders and sides);;
Actium-31;Greece;38.9176738;20.797808;7;Actium;-31;['Roman', 'Octavians', 'Greece', 'Preveza', 'Antonys', 'Egypt'];Wars of the Second Triumvirate;Octavians' Forces;Mark Anthony's Army;Octavians' Forces;Mark Anthony's Army;3;Sea;;No;"https://www.britannica.com/event/Battle-of-Actium-ancient-Roman-history; Warfare in the Classical World, John Warry, 1980, p185";1;
Aculco1810;Mexico;20.0985989;-99.8275861;7;Aculco;1810;['Mexican', 'Mexico City', 'Guadalajara', 'Royalist'];Mexican War of Independence;Spain;Mexican Rebels;Spain;Mexican Rebels;4;Land;;No;Encyclopedia of Warfare, Amber Books, London 2014, p560. Assuming Hidalgo's force to be approximately similar to that fielded at Calderon Bridge early the following year;;
Acultzingo1862;Mexico;18.7156563;-97.3077659;8;Acultzingo;1862;['Mexican', 'French', 'Mexico', 'Acultzingo', 'Mexican', 'French'];Mexican-French War;France;Mexican Liberals;France;Mexican Liberals;2;Land;;No;Encyclopedia of Warfare, Amber Books, London 2014, p663. Harbottle's Dictionary of Battles, George Bruce, 1979, p10-11;;
Ad Decimum533;Tunisia;36.8592738;10.3137703;9;Ad Decimum;533;['North Africa', 'Romans'];Vandal War in Africa;Byzantium;Vandal Kingdom in Africa;Byzantium;Vandal Kingdom in Africa;4;Land;;No;"Encyclopedia of Warfare, Amber Books, London 2014, p167-168. States that 10-12,000 Vandals were killed but that the majority of the army 'remainded intact', which implies an original strength of over 20,000. Roman strength 8,000. Hutchinson Dictionary of Ancient and Medieval Warfare, 'Ad Decimum, Battle of'; Harbottle's Dictionary of Battles, p59, gives the Vandal strength at 160,000 approx.";;
Ad Salices377;Romania;45.0260948;29.1896499;12;Ad Salices;377;['Roman', 'Trajan', 'Goths', 'Valens'];['Gothic War'];Draw;;Goths;Rome;;Land;;No;http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0064%3Aentry%3Dsalices-geo;;
Adairsville1864;United States;34.3687021;-84.9341093;8;Adairsville;1864;['Georgia', 'Atlanta', 'Chattanooga', 'Calhoun', 'Cassville', 'Dallas'];American Civil War;United States;Confederate States of America;United States;Confederate States of America;;Land;;No;;;
Adana964;Turkey;36.9914194;35.3308285;8;Adana;964;['Muslim', 'Syria', 'Muslims', 'Asia Minor', 'Cilician', 'Adana', 'Turkey', 'Syria'];Later Byzantine-Muslim Wars;Byzantium;Hamdanid Dynasty;Byzantium;Hamdanid Dynasty;3;Land;;No;Encyclopedia of Warfare, Amber Books, London 2014, p187. Assuming Byzantine force to be similar in size to army also commanded by the Emperor which invaded Crete three years earlier;;
Adas1775;India;22.4952782;72.9436393;8;Adas;1775;['Poona', 'Kasegaum'];Maratha Wars of Succession;Poona;Peshwa Ragunath Rao;Poona;Peshwa Ragunath Rao;;Land;;No;;;
Adas1775(2nd);India;22.4952782;72.9436393;8;Adas;1775;['British', 'Napar'];1st British Maratha War;United Kingdom;Marathas;United Kingdom;Marathas;3;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p24;;
Adasa-161;Israel;31.877519;35.1230051;8;Adasa;-161;['Jerusalem', 'Hebrew'];['Maccabean War        '];Hebrews;Seleucid Empire;Hebrews;Seleucid Empire;;Land;;No;;;
Adda-223;Italy;45.8012456;9.3249373;8;Adda;-223;['Italy', 'Italy', 'Roman'];Gallic Wars in Italy;Rome;Insubrian Gauls;Rome;Insubrian Gauls;;Land;;No;;;
Adda490;Italy;45.8012456;9.3249373;8;Adda;490;['German', 'Italy', 'Sontius', 'Verona', 'Ravenna'];Goth invasion of Italy;Ostrogoths;German kingdom of Italy;Ostrogoths;German kingdom of Italy;;Land;;No;;;
Addis Ababa1936;Ethiopia;8.9806034;38.7577605;9;Addis Ababa;1936;['Ogaden', 'Italian', 'Addis Ababa'];2nd Italo-Ethiopian War;Italy;Ethiopia;Italy;Ethiopia;3;Land;;Battle followed by massacre;Clodfelter, Warfare and Armed Conflict, p355;1;
Addis Ababa1941;Ethiopia;8.9806034;38.7577605;9;Addis Ababa;1941;['Addis Ababa', 'Northern Africa', 'British', 'Ethiopia', 'Kenya', 'Italian', 'Addis Ababa', 'Italians', 'Addis Ababa'];['World War II'];United Kingdom;Italy;United Kingdom;Italy;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p441;;
Addis Ababa1991;Ethiopia;8.9806034;38.7577605;9;Addis Ababa;1991;['Addis Ababa', 'Ethiopian', 'Eritrea', 'Addis Ababa', 'Tigrayan'];2nd Ethiopian Civil War;Ethiopian Rebels;Ethiopia;Ethiopian Rebels;Ethiopia;;Land;;No;;;
Aden1513;Yemen;12.7854969;45.0186548;9;Aden;1513;['Portuguese', 'Arabia', 'Portuguese', 'Aden', 'Portugal', 'Hormuz', 'Aden', 'Ottomans'];Portuguese Wars in Africa;Ottoman Empire;Portugal;Ottoman Empire;Portugal;;Land;;No;;;
Aden1839;Yemen;12.7854969;45.0186548;9;Aden;1839;['Anglo', 'Aden', 'Yemen', 'British', 'British', 'India', 'Aden', 'British'];Anglo-Arab Wars;United Kingdom;Yemen;United Kingdom;Yemen;1;Land;;No;;;
Aden1986;Yemen;12.7854969;45.0186548;9;Aden;1986;['Aden', 'Yemeni', 'Yemen', 'Aden'];Yemeni Civil Wars;Draw;;Yemen Government;Yemen Rebels;;Land;;No;;;
Aden1994;Yemen;12.7854969;45.0186548;9;Aden;1994;['Aden', 'Yemeni', 'North and South Yemen', 'a Democratic Republic of Yemen'];Yemeni Civil Wars;Yemen;Democratic Republic of Yemen;;;;Land;;No;;;
Adibo1896;Ghana;9.3069629;0.0229168;10;Adibo;1896;['German', 'German', 'Togoland', 'Ghana', 'German'];German Colonial Wars in Africa;Germany;Dagomba Tribesmen;Germany;Dagomba Tribesmen;1;Land;;No;;;
Adige-102;Italy;45.9056808;10.3153889;10;Adige;-102;['Gaul', 'Roman', 'Italy'];Rome's Gallic Wars;Cimbri Gauls;Rome;Cimbri Gauls;Rome;;Land;;No;;;
Adigrat1935;Ethiopia;14.276944;39.460833;Showalter, p796-797;Adigrat;1935;;2nd Italo-Ethiopian War;Italy;Ethiopia;;;4;Land;;No;;Encyclopedia of Warfare, Showalter, 2014, p796-7;
Adiliya1218;Egypt;31.3948239;31.7546821;10;Adiliya;1218;['Egypt', 'Palestine', 'Damietta'];5th Crusade;Kingdom of Jerusalem, European Crusaders;Ayyubid Caliphate;Kingdom of Jerusalem, European Crusaders;Ayyubid Caliphate;;Land;;No;;;
Admagetobriga-61;France;46.8278005;5.1965099;10;Admagetobriga;-61;['Germanic', 'Suebian', 'Sequani', 'Aedui', 'Rome', 'Germanic', 'Admagetobriga', 'Alsace'];Rome's Later Gallic Wars;Suebians;Aedui;Suebians;Aedui;;Land;;No;;For location - https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0062%3Aalphabetic+letter%3DM%3Aentry+group%3D2%3Aentry%3Dmagetobria-harpers;
Admin Box1944;Myanmar;21.647067;91.5459743;10;Admin Box;1944;['British', 'Arakan', 'Japanese', 'British'];['World War II'];United Kingdom;Japan;United Kingdom;Japan;2;Land;;No;;;
Admiralty Islands1944;Papua New Guinea;-2.0941169;146.8760951;10;Admiralty Islands;1944;['American', 'Ad-    miralty Islands', 'Papua New Guinea', 'Australian', 'Americans', 'Japanese'];['World War II'];United States, Australia;Japan;United States;Japan;3;Land;;No;;Encyclopedia of Warfare, Amber Books, London 2014, p 853;
Adobe Walls1864;United States;29.4035274;-103.6033842;10;Adobe Walls;1864;['Texas', 'New Mexico'];Comanche Indian Wars;United States;Comanche Indians;United States;Comanche Indians;1;Land;;No;;Encyclopedia of Warfare, Showalter, 2014, p606;
Adobe Walls1874;United States;29.4035274;-103.6033842;10;Adobe Walls;1874;['Kiowa', 'Texas', 'Indians'];['Indian War       '];United States;Comanche Indians, Kiowa Indians, Arapaho Indians, Cheyenne Indians;United States;Comanche Indians, Kiowa Indians, Arapaho Indians, Cheyenne Indians;1;Land;;No;;Encyclopedia of Warfare, Showalter, 2014, p610-611;
Adowa1896;Ethiopia;14.1636465;38.8937176;11;Adowa;1896;['Italo', 'Italian', 'Ethiopia', 'Italian', 'Adowa', 'Ethiopian', 'European'];1st Italo-Ethiopian War;Ethiopia;Italy;Ethiopia;Italy;4;Land;ADA1896;No;;Wars of Imperial Conquest in Africa 1830-1914, Bruce Vandervoort, Indiana Univeristy Press 1998, p160;
Adowa1935;Ethiopia;14.1636465;38.8937176;11;Adowa;1935;['Italo', 'Ethiopia', 'Adowa', 'Ethiopia'];2nd Italo-Ethiopian War;Italy;Ethiopia;Italy;Ethiopia;4;Land;;No;;Encyclopedia of Warfare, Amber Books, London 2014, p797;1
Adranum-344;Italy;37.6627555;14.8326154;11;Adranum;-344;['Carthaginians', 'Carthaginians'];['Timoleons War'];Corinthians;Carthage;Corinthians;Carthage;2;Land;;No;;Harbottle's Dictionary of Battles, George Bruce, 1979, p110;
Adrianople (2nd)1913;Turkey;41.6771297;26.5557145;12;Adrianople (2nd);1913;['Balkan', 'Bulgaria', 'Thrace', 'Bulgarians', 'Turkey'];2nd Balkan (Inter-Allied) War;Ottoman Empire;Bulgaria;Ottoman Empire;Bulgaria;4;Land;ADR1912;No;"The Balkan Wars 1912-1913, Richard C Hall, Routledge, 2000, p118; Shapefile created from L'Illustration, No. 3650, 8 Février 1913, at Project Gutenburg";;
Adrianople1205;Turkey;41.6771297;26.5557145;11;Adrianople;1205;['Bulgarian', 'Latin', 'Bulgarian', 'Thrace', 'Bulgaria', 'Bulgarians', 'Macedonia'];Bulgarian Imperial Wars;Bulgar Empire;Latin Byzantium;Bulgar Empire;Latin Byzantium;1;Land;;No;;Encyclopedia of Warfare, Amber Books, London 2014, p223;
Adrianople1255;Turkey;41.6771297;26.5557145;11;Adrianople;1255;['Bulgarian', 'Bulgaria', 'Bulgaria', 'Macedonia', 'Thrace'];Bulgarian Imperial Wars;Byzantine Nicea;Bulgar Empire;Byzantine Nicea;Bulgar Empire;;Land;;No;;;
Adrianople1355;Turkey;41.6771297;26.5557145;12;Adrianople;1355;['Serbian', 'Didymoteichon', 'Serbian', 'Byzantine', 'Edirne', 'Turkey'];Serbian Imperial Wars;Serbia;Byzantium;Serbia;Byzantium;;Land;;No;;;
Adrianople1362;Turkey;41.6771297;26.5557145;12;Adrianople;1362;['Byzantine', 'Serbia', 'Maritza', 'Kossovo', 'Turkish', 'Ottoman'];Byzantine-Ottoman Wars;Ottoman Empire;Byzantium;Ottoman Empire;Byzantium;;Land;;No;;;
Adrianople1829;Turkey;41.6771297;26.5557145;12;Adrianople;1829;['Russo', 'Russia', 'Greek', 'Bulgarian', 'Turkey', 'Greece', 'Russia'];Russo-Turkish Wars;Russia;Ottoman Empire;Russia;Ottoman Empire;3;Land;;No;Encyclopedia of Warfare, Amber Books, London 2014, p479. 23,000 Russians at Varna and 50,000 at Kulevcha;;
Adrianople1912-1913;Turkey;41.6771297;26.5557145;12;Adrianople;1912;['Bulgarian', 'Ivanoff', 'Turks', 'Ivanoff', 'Serb'];['Balkan War'];Bulgaria, Serbia;Ottoman Empire;Bulgaria, Serbia;Turkey;4;Land;ADR1912;No;"The Balkan Wars 1912-1913, Richard C Hall, Routledge, 2000, p90; Shapefile created from L'Illustration, No. 3650, 8 Février 1913, at Project Gutenburg";;
Adrianople324;Turkey;41.6771297;26.5557145;11;Adrianople;324;['Bulgarian', 'Eastern'];Roman Wars of Succession;Western Empire;Eastern Empire;Western Empire;Eastern Empire;4;Land;;No;;Encyclopedia of Warfare, Showalter, p158;
Adrianople378;Turkey;41.6771297;26.5557145;11;Adrianople;378;['Thrace', 'Roman', 'Marcianopolis', 'Valens'];5th Gothic War;Goths;Rome;Goths;Rome;3;Land;;No;;Warfare and Society in the Barbarian West, Guy Halsall, Routledge 2003, p130;
Adrianople718;Turkey;41.6771297;26.5557145;11;Adrianople;718;['Muslim', 'Anchialus', 'Bulgarians', 'Maslama', 'Adrianople', 'Turkey', 'Muslims'];Early Byzantine-Muslim Wars;Bulgar Khanate;Umayyad Caliphate;Bulgar Khanate;Umayyad Caliphate;;Land;;No;;;
Aduatuca-54;Belgium;50.78419;5.47449;12;Aduatuca;-54;['Eburones', 'Gaul', 'Romans'];Rome's Later Gallic Wars;Eburones;Rome;Eburones;Rome;2;Land;;Yes;Harbottle's Dictionary of Battles, George Bruce, 1979, p11;;
