ID;Country;Latitude;Longitude;Page;Battle;Year;Participants;War;Winner;Loser;Participant 1;Participant 2;Lehmann Zhukov Scale;Theatre;Polygon;Massacre;Alternative Sources Consulted;Infered Scale;Minor
Kolubara1914;Serbia;44.4612979;19.8193909;539;Kolubara;1914;['Drina', 'Belgrade', 'Belgrade'];World War I;Serbia;Austria-Hungary;;;4;Land;KOL1914;No;Clodfelter, Warfare and Armed Conflict, p412. For shapefile Banks, Arthur, Military Atlas of the First World War, p98;;
Kolwezi1978;Democratic Republic of the Congo;-10.7275273;25.5088914;539;Kolwezi;1978;['Shaba Province', 'Kolwezi'];Shaba War;France;Mbumba Rebels;;;1;Land;;No;Clodfelter, Warfare and Armed Conflict, p567;;
Komandorski Islands1943;United States;54.9362123;165.8021382;539;Komandorski Islands;1943;['Japanese', 'Aleutians'];World War II;United States;Japan;;;;Sea;;No;;;
Komar1655;China;51.8953252;123.707;Showalter, p396-7;Komar ;1655;;Russo-Ming War;Russia;China;;;2;Land;;No;Encylopedia of Warfare, Showalter, 2014, p397;;
Komarom1594;Hungary;47.7390852;18.1267006;539;Komarom;1594;['Austrian', 'Hungary', 'Ottoman'];Turkish-Habsburg Wars;Habsburg Empire;Ottoman Empire;;;;Land;;No;;;
Komarom1849;Hungary;47.7390852;18.1267006;539;Komarom;1849;['Hungarian', 'Russia', 'Hungary', 'Austria', 'Hungarian', 'Russian', 'Austrian'];Hungarian Revolutionary War;Austria, Russia;Hungarian Rebels;;;;Land;;No;;;
Komarow1914;Poland;50.6291022;23.4730782;540;Komarow;1914;['Austrian', 'Poland', 'Russians'];World War I;Austria-Hungary;Russia;;;4;Land;;No;Clodfelter, Warfare and Armed Conflict, p409;1;
Komatsu1062;Japan;38.8899836;141.4506737;540;Komatsu;1062;['Japan'];Earlier Nine Years War;Abe Sadato of Mutsu;Governor Minamoto Yuriyoshi,  Kiyohara Takenori of Dewa;;;;Land;;No;;;
Kombi1647;Angola;-9.6280651;14.2526037;Showalter, p399;Kombi;1647;;Dutch-Portuguese Colonial Wars;Netherlands, Ndongo;Portugal;;;3;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p399;;
Kondavidu1515;India;16.2544535;80.263871;540;Kondavidu;1515;[];Vijayanagar-                    Gajapati War ;Vijayanagar;Gajapati Orissa;;;;Land;;No;;;
Kondavidu1563;India;16.2544535;80.263871;540;Kondavidu;1563;['Deccan', 'Sultanates', 'Golconda', 'Bijapur'];War of the Deccan Sultanate;Bijapur, Vijayanagar;Golconda, Ahmadnagar;;;;Land;;No;;;
